,Store,Cuisine Type,Rating,Delivery Time
0,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Boston's""> Boston's </h2>"," Pizza ,  Italiana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.2 </span>", 100 min 
1,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Taquearte""> Taquearte </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.3 </span>", 100 min 
2,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Tacotlan""> Tacotlan </h2>", Mexicana ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.2 </span>", 100 min 
3,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Last Slice""> Last Slice </h2>", Pizza ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
4,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""McDonald's""> McDonald's </h2>"," Hamburguesas ,  Desayunos ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
5,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Monkch Time""> Monkch Time </h2>"," Hamburguesas ,  Comida Rápida ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
6,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Tortas al Fuego""> Tortas al Fuego </h2>"," Mexicana ,  Desayunos ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.4 </span>", 100 min 
7,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Di Carlo (CDMX)""> Di Carlo (CDMX) </h2>"," Saludables ,  Italiana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
8,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Parrilla Prime""> Parrilla Prime </h2>", Carnes ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 3.7 </span>", 100 min 
9,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Taquerias Brasil Copacabana""> Taquerias Brasil Copacabana </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.2 </span>", 100 min 
10,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""La Xaiva""> La Xaiva </h2>", Pescados y Mariscos ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.8 </span>", 30 min 
11,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""La Cochina de Mi Vecina""> La Cochina de Mi Vecina </h2>", Mexicana ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 30 min 
12,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""La Casa de Toño""> La Casa de Toño </h2>", Mexicana ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4 </span>", 100 min 
13,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Hooters""> Hooters </h2>", Wings ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
